SN,Severity,Equipment,Equipment ID,Alarm Name,Generation Time,End Time,Fault Code,
840,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2023-02-06 09:23:26,2023-02-06 09:23:33,0
839,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2023-02-06 09:20:35,2023-02-06 09:20:42,0
838,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2023-02-06 09:03:41,2023-02-06 09:03:48,0
837,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2023-02-06 09:00:39,2023-02-06 09:00:58,0
836,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2023-02-05 14:55:24,2023-02-05 14:55:31,0
835,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2023-02-05 14:52:50,2023-02-05 14:52:57,0
834,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2023-02-05 14:50:16,2023-02-05 14:50:24,0
833,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2023-02-05 14:43:57,2023-02-05 14:44:10,0
832,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2023-02-05 14:28:41,2023-02-05 14:28:54,0
831,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2023-02-05 14:24:32,2023-02-05 14:25:02,0
830,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2023-02-05 14:18:07,2023-02-05 14:18:59,0
829,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2023-02-05 13:46:29,2023-02-05 13:46:36,0
828,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2023-02-05 13:43:12,2023-02-05 13:43:20,0
827,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2023-02-05 13:39:42,2023-02-05 13:39:49,0
826,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2023-02-05 13:36:56,2023-02-05 13:37:03,0
825,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2023-02-05 13:36:15,2023-02-05 13:36:22,0
824,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2023-02-05 13:35:34,2023-02-05 13:35:42,0
823,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2023-02-05 13:32:55,2023-02-05 13:33:03,0
822,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2023-02-05 13:32:15,2023-02-05 13:32:22,0
821,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2023-02-05 13:28:41,2023-02-05 13:28:54,0
817,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2023-01-22 10:05:56,2023-01-22 10:06:16,0
800,Critical,ECC800_FM03,0x0001,water_sensor_1 DI alarm,2022-09-26 08:36:54,2022-09-26 08:36:56,0
780,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2022-07-24 14:23:10,2022-07-24 14:25:16,0
779,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2022-07-24 13:41:50,2022-07-24 13:44:13,0
778,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2022-07-24 13:38:59,2022-07-24 13:40:15,0
777,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2022-07-24 13:34:32,2022-07-24 13:37:35,0
770,Critical,ECC800_FM03,0x0001,water_sensor_2 DI alarm,2022-05-18 11:33:33,2022-05-18 11:35:10,0
764,Critical,ECC800_FM03,0x0001,water_sensor_2 DI alarm,2022-01-22 21:41:52,2022-01-22 21:41:59,0
763,Critical,ECC800_FM03,0x0001,water_sensor_2 DI alarm,2022-01-22 21:15:58,2022-01-22 21:41:41,0
762,Critical,ECC800_FM03,0x0001,water_sensor_2 DI alarm,2022-01-22 21:15:50,2022-01-22 21:15:53,0
758,Critical,ECC800_FM03,0x0001,water_sensor_2 DI alarm,2022-01-22 21:10:57,2022-01-22 21:15:50,0
757,Critical,ECC800_FM03,0x0001,water_sensor_2 DI alarm,2022-01-21 15:55:32,2022-01-21 15:56:53,0
754,Critical,ECC800_FM03,0x0001,water_sensor_2 DI alarm,2022-01-21 15:46:57,2022-01-21 15:55:15,0
753,Critical,ECC800_FM03,0x0001,water_sensor_2 DI alarm,2022-01-21 15:19:38,2022-01-21 15:45:44,0
752,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2021-12-23 12:40:46,2021-12-23 12:49:55,0
750,Critical,ECC800_FM03,0x0001,water_sensor_2 DI alarm,2021-11-04 12:44:13,2021-11-04 12:44:26,0
749,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2021-10-31 09:42:42,2021-10-31 09:48:52,0
748,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2021-10-14 10:06:47,2021-10-14 10:07:00,0
734,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2021-09-09 14:05:14,2021-09-09 14:06:46,0
733,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2021-09-09 12:42:33,2021-09-09 12:42:40,0
732,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2021-09-09 11:53:17,2021-09-09 11:53:30,0
729,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2021-08-29 11:58:30,2021-08-29 11:59:07,0
728,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2021-08-29 11:48:06,2021-08-29 11:48:42,0
727,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2021-08-29 11:46:27,2021-08-29 11:47:48,0
726,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2021-08-29 11:44:49,2021-08-29 11:45:53,0
725,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2021-08-29 11:42:49,2021-08-29 11:43:25,0
724,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2021-08-29 11:35:32,2021-08-29 11:39:09,0
723,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2021-08-29 11:30:37,2021-08-29 11:32:48,0
722,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2021-08-29 11:25:30,2021-08-29 11:28:22,0
721,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2021-08-29 11:07:36,2021-08-29 11:08:00,0
720,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2021-08-29 11:05:25,2021-08-29 11:06:57,0
719,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2021-08-29 10:59:22,2021-08-29 11:02:08,0
718,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2021-08-29 10:58:36,2021-08-29 10:58:43,0
717,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2021-08-29 10:55:57,2021-08-29 10:57:29,0
716,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2021-08-29 09:53:28,2021-08-29 09:53:35,0
715,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2021-08-29 09:51:34,2021-08-29 09:51:41,0
714,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2021-08-29 09:46:32,2021-08-29 09:46:39,0
713,Critical,ECC800_FM03,0x0001,DEF System Anti-Incendie DI alarm,2021-08-29 09:45:23,2021-08-29 09:45:30,0
