Equipment,Equipment ID,Performance Data,Statistical Period,Statistical Start Time,Value,Unit,
"	ECC800_FM02", 0x01,"	IT accumulate electric by hour", 1 Day, 2025-09-11 00:00:00,"	3584.50","	kWh"
"	Cooling", 0x04,"	Module hot channel humidity", 1 Day, 2025-10-03 00:00:00,"	No Data","	%RH"
"	ECC800_FM02", 0x01,"	IT accumulate electric by hour", 1 Day, 2025-10-04 00:00:00,"	3683.00","	kWh"
"	ECC800_FM02", 0x01,"	Aircon accumulate electric by hour", 1 Day, 2025-10-04 00:00:00,"	0.00","	kWh"
"	ECC800_FM02", 0x01,"	Module accumulate electric by hour", 1 Day, 2025-10-04 00:00:00,"	0.00","	kWh"
"	Cooling", 0x04,"	Module cooling channel temperature", 1 Day, 2025-10-04 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module cooling channel humidity", 1 Day, 2025-10-04 00:00:00,"	No Data","	%RH"
"	Cooling", 0x04,"	Module hot channel temperature", 1 Day, 2025-10-04 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module hot channel humidity", 1 Day, 2025-10-04 00:00:00,"	No Data","	%RH"
"	ECC800_FM02", 0x01,"	IT accumulate electric by hour", 1 Day, 2025-10-05 00:00:00,"	3701.50","	kWh"
"	ECC800_FM02", 0x01,"	Aircon accumulate electric by hour", 1 Day, 2025-10-05 00:00:00,"	0.00","	kWh"
"	ECC800_FM02", 0x01,"	Module accumulate electric by hour", 1 Day, 2025-10-05 00:00:00,"	0.00","	kWh"
"	Cooling", 0x04,"	Module cooling channel temperature", 1 Day, 2025-10-05 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module cooling channel humidity", 1 Day, 2025-10-05 00:00:00,"	No Data","	%RH"
"	Cooling", 0x04,"	Module hot channel temperature", 1 Day, 2025-10-05 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module hot channel humidity", 1 Day, 2025-10-05 00:00:00,"	No Data","	%RH"
"	ECC800_FM02", 0x01,"	IT accumulate electric by hour", 1 Day, 2025-10-06 00:00:00,"	3704.50","	kWh"
"	ECC800_FM02", 0x01,"	Aircon accumulate electric by hour", 1 Day, 2025-10-06 00:00:00,"	0.00","	kWh"
"	ECC800_FM02", 0x01,"	Module accumulate electric by hour", 1 Day, 2025-10-06 00:00:00,"	0.00","	kWh"
"	Cooling", 0x04,"	Module cooling channel temperature", 1 Day, 2025-10-06 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module cooling channel humidity", 1 Day, 2025-10-06 00:00:00,"	No Data","	%RH"
"	Cooling", 0x04,"	Module hot channel temperature", 1 Day, 2025-10-06 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module hot channel humidity", 1 Day, 2025-10-06 00:00:00,"	No Data","	%RH"
"	ECC800_FM02", 0x01,"	IT accumulate electric by hour", 1 Day, 2025-10-07 00:00:00,"	3699.50","	kWh"
"	ECC800_FM02", 0x01,"	Aircon accumulate electric by hour", 1 Day, 2025-10-07 00:00:00,"	0.00","	kWh"
"	ECC800_FM02", 0x01,"	Module accumulate electric by hour", 1 Day, 2025-10-07 00:00:00,"	0.00","	kWh"
"	Cooling", 0x04,"	Module cooling channel temperature", 1 Day, 2025-10-07 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module cooling channel humidity", 1 Day, 2025-10-07 00:00:00,"	No Data","	%RH"
"	Cooling", 0x04,"	Module hot channel temperature", 1 Day, 2025-10-07 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module hot channel humidity", 1 Day, 2025-10-07 00:00:00,"	No Data","	%RH"
"	ECC800_FM02", 0x01,"	IT accumulate electric by hour", 1 Day, 2025-10-08 00:00:00,"	3707.50","	kWh"
"	ECC800_FM02", 0x01,"	Aircon accumulate electric by hour", 1 Day, 2025-10-08 00:00:00,"	0.00","	kWh"
"	ECC800_FM02", 0x01,"	Module accumulate electric by hour", 1 Day, 2025-10-08 00:00:00,"	0.00","	kWh"
"	Cooling", 0x04,"	Module cooling channel temperature", 1 Day, 2025-10-08 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module cooling channel humidity", 1 Day, 2025-10-08 00:00:00,"	No Data","	%RH"
"	Cooling", 0x04,"	Module hot channel temperature", 1 Day, 2025-10-08 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module hot channel humidity", 1 Day, 2025-10-08 00:00:00,"	No Data","	%RH"
"	ECC800_FM02", 0x01,"	IT accumulate electric by hour", 1 Day, 2025-10-09 00:00:00,"	3800.00","	kWh"
"	ECC800_FM02", 0x01,"	Aircon accumulate electric by hour", 1 Day, 2025-10-09 00:00:00,"	0.00","	kWh"
"	ECC800_FM02", 0x01,"	Module accumulate electric by hour", 1 Day, 2025-10-09 00:00:00,"	0.00","	kWh"
"	Cooling", 0x04,"	Module cooling channel temperature", 1 Day, 2025-10-09 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module cooling channel humidity", 1 Day, 2025-10-09 00:00:00,"	No Data","	%RH"
"	Cooling", 0x04,"	Module hot channel temperature", 1 Day, 2025-10-09 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module hot channel humidity", 1 Day, 2025-10-09 00:00:00,"	No Data","	%RH"
"	ECC800_FM02", 0x01,"	IT accumulate electric by hour", 1 Day, 2025-10-10 00:00:00,"	3910.50","	kWh"
"	ECC800_FM02", 0x01,"	Aircon accumulate electric by hour", 1 Day, 2025-10-10 00:00:00,"	0.00","	kWh"
"	ECC800_FM02", 0x01,"	Module accumulate electric by hour", 1 Day, 2025-10-10 00:00:00,"	0.00","	kWh"
"	Cooling", 0x04,"	Module cooling channel temperature", 1 Day, 2025-10-10 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module cooling channel humidity", 1 Day, 2025-10-10 00:00:00,"	No Data","	%RH"
"	Cooling", 0x04,"	Module hot channel temperature", 1 Day, 2025-10-10 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module hot channel humidity", 1 Day, 2025-10-10 00:00:00,"	No Data","	%RH"
"	ECC800_FM02", 0x01,"	IT accumulate electric by hour", 1 Day, 2025-10-11 00:00:00,"	3904.50","	kWh"
"	ECC800_FM02", 0x01,"	Aircon accumulate electric by hour", 1 Day, 2025-10-11 00:00:00,"	0.00","	kWh"
"	ECC800_FM02", 0x01,"	Module accumulate electric by hour", 1 Day, 2025-10-11 00:00:00,"	0.00","	kWh"
"	Cooling", 0x04,"	Module cooling channel temperature", 1 Day, 2025-10-11 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module cooling channel humidity", 1 Day, 2025-10-11 00:00:00,"	No Data","	%RH"
"	Cooling", 0x04,"	Module hot channel temperature", 1 Day, 2025-10-11 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module hot channel humidity", 1 Day, 2025-10-11 00:00:00,"	No Data","	%RH"
"	ECC800_FM02", 0x01,"	IT accumulate electric by hour", 1 Day, 2025-10-12 00:00:00,"	4009.00","	kWh"
"	ECC800_FM02", 0x01,"	Aircon accumulate electric by hour", 1 Day, 2025-10-12 00:00:00,"	0.00","	kWh"
"	ECC800_FM02", 0x01,"	Module accumulate electric by hour", 1 Day, 2025-10-12 00:00:00,"	0.00","	kWh"
"	Cooling", 0x04,"	Module cooling channel temperature", 1 Day, 2025-10-12 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module cooling channel humidity", 1 Day, 2025-10-12 00:00:00,"	No Data","	%RH"
"	Cooling", 0x04,"	Module hot channel temperature", 1 Day, 2025-10-12 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module hot channel humidity", 1 Day, 2025-10-12 00:00:00,"	No Data","	%RH"
"	ECC800_FM02", 0x01,"	IT accumulate electric by hour", 1 Day, 2025-10-13 00:00:00,"	4104.00","	kWh"
"	ECC800_FM02", 0x01,"	Aircon accumulate electric by hour", 1 Day, 2025-10-13 00:00:00,"	0.00","	kWh"
"	ECC800_FM02", 0x01,"	Module accumulate electric by hour", 1 Day, 2025-10-13 00:00:00,"	0.00","	kWh"
"	Cooling", 0x04,"	Module cooling channel temperature", 1 Day, 2025-10-13 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module cooling channel humidity", 1 Day, 2025-10-13 00:00:00,"	No Data","	%RH"
"	Cooling", 0x04,"	Module hot channel temperature", 1 Day, 2025-10-13 00:00:00,"	No Data","	℃"
"	Cooling", 0x04,"	Module hot channel humidity", 1 Day, 2025-10-13 00:00:00,"	No Data","	%RH"
